[2026-03-25 18:21:54] таааа  2: 1 урона от Лекарь. HP 21/22
[2026-03-25 18:22:02] дааааа  4: 5 урона от Маг. HP 10/15
[2026-03-25 18:22:02] таааа  2: 8 урона от Лучник. HP 13/22
[2026-03-25 18:22:10] таааа  2: 1 урона от Лекарь. HP 12/22
[2026-03-25 18:22:12] дааааа  4: 5 урона от Маг. HP 5/15
[2026-03-25 18:22:12] таааа  3: 4 урона от Лучник. HP 21/25
[2026-03-25 18:22:14] таааа  2: 1 урона от Лекарь. HP 11/22
[2026-03-25 18:22:29] дааааа  4: 5 урона от Маг. HP 0/15
[2026-03-25 18:22:32] таааа  2: 1 урона от Лучник. HP 10/22
[2026-03-25 18:31:44] ло  3: 8 урона от Слабый боец. HP 7/15
[2026-03-25 18:31:44] до  3: 1 урона от Лекарь. HP 24/25
[2026-03-25 18:31:44] ло  3: 8 урона от Слабый боец. HP 0/15
[2026-03-25 18:31:46] ло  5: 12 урона от Сильный боец. HP 13/25
[2026-03-25 18:31:46] до  1: 1 урона от Слабый боец. HP 59/60
[2026-03-25 18:31:46] ло  5: 12 урона от Сильный боец. HP 1/25
[2026-03-25 18:31:46] до  1: 1 урона от Слабый боец. HP 58/60
[2026-03-25 18:31:46] ло  5: 12 урона от Сильный боец. HP 0/25
[2026-03-27 13:38:33] ро  2: 1 урона от Маг. HP 59/60
[2026-03-27 13:38:33] ро  1: 10 урона от Лучник. HP 5/15
[2026-03-27 13:38:33] ро  2: 1 урона от Лучник. HP 58/60
[2026-03-27 13:38:33] ро  5: 1 урона от Лучник. HP 59/60
[2026-03-27 13:38:33] пм  2: 10 урона от Лучник. HP 5/15
[2026-03-27 13:38:46] пм  1: 16 урона от Сильный боец. HP 6/22
[2026-03-27 13:38:46] ро  8: 8 урона от Лучник. HP 14/22
[2026-03-27 13:38:46] ро  7: 4 урона от Лучник. HP 21/25
[2026-03-27 13:38:46] ро  3: 9 урона от Лучник. HP 9/18
[2026-03-27 13:38:46] пм  1: 8 урона от Лучник. HP 0/22
[2026-03-27 13:38:46] ро  2: 1 урона от Маг. HP 57/60
[2026-03-27 13:38:58] пм  11: 7 урона от Слабый боец. HP 11/18
[2026-03-27 13:38:58] ро  2: 1 урона от Лучник. HP 56/60
[2026-03-27 13:38:58] ро  9: 10 урона от Лучник. HP 5/15
[2026-03-27 13:38:58] пм  4: 9 урона от Лучник. HP 9/18
[2026-03-27 13:39:00] ро  4: 1 урона от Лучник. HP 24/25
[2026-03-27 13:39:00] ро  8: 8 урона от Лучник. HP 6/22
[2026-03-27 13:39:00] ро  6: 1 урона от Лучник. HP 59/60
[2026-03-27 13:39:00] пм  11: 9 урона от Лучник. HP 2/18
[2026-03-27 13:39:01] пм  11: 7 урона от Слабый боец. HP 0/18
[2026-03-27 13:39:01] ро  6: 1 урона от Лучник. HP 58/60
[2026-03-27 13:39:01] пм  4: 9 урона от Лучник. HP 0/18
[2026-03-29 00:54:00] 89888  1: 1 урона от Лекарь. HP 21/22
